검진청구항목기준년도,건강검진청구항목코드,건강검진청구항목코드명,건강검진유형구분코드,건강검진유형상세코드
2024,A2101047,생활습관음주,생활습관음주,A
2024,A2101048,생활습관운동,생활습관운동,A
2024,A2101049,생활습관영양,생활습관영양,A
2024,A2101050,생활습관비만,생활습관비만,A
2024,A2101051,생활습관상담료(기본료),생활습관상담료(기본료),A
2024,C1101001,구강검사진찰및상담,구강검사진찰및상담,C
2024,C1101002,치면세균막검사,치면세균막검사,C
2024,C1101003,구강검사진찰및상담공휴일가산,구강검사진찰및상담공휴일가산,C
2024,D3101001,(위암)상담료및행정비용,(위암)상담료및행정비용,D
2024,D3101003,(위암)위내시경검사,(위암)위내시경검사,D
2024,D3101004,(위암)조직검사,(위암)조직검사,D
2024,D3101040,(위암)포셉,(위암)포셉,D
2024,D3101044,(위암)상담료공휴일가산,(위암)상담료공휴일가산,D
2024,D3101045,(위암)장애인안전편의관리비(조영),(위암)장애인안전편의관리비(조영),D
2024,D3101046,(위암)장애인안전편의관리비(내시경),(위암)장애인안전편의관리비(내시경),D
2024,D3101047,(위암)위장조영검사(직촬/바륨분말300g),(위암)위장조영검사(직촬/바륨분말300g),D
2020,X1101001,C형간염시범사업행정비용,C형간염시범사업행정비용,X
2020,X1101002,C형간염항체(일반),C형간염항체(일반),X
2020,X1101003,C형간염항체(정밀),C형간염항체(정밀),X
2020,X1101004,핵의학적방법(정밀),핵의학적방법(정밀),X
2020,X1101007,핵산증폭-정성그룹2,핵산증폭-정성그룹2,X
2020,X1101008,핵산증폭-정성그룹3,핵산증폭-정성그룹3,X
2020,X1101009,핵산증폭-정량그룹2,핵산증폭-정량그룹2,X
2024,D3101048,(위암)위장조영검사(직촬/바륨분말340g),(위암)위장조영검사(직촬/바륨분말340g),D
2024,D3101049,(위암)위장조영검사(CR/DR/바륨분말300g),(위암)위장조영검사(CR/DR/바륨분말300g),D
2024,D3101050,(위암)위장조영검사(CR/DR/바륨분말340g),(위암)위장조영검사(CR/DR/바륨분말340g),D
2024,D3101051,(위암)위장조영검사(FullPACS/바륨분말300g),(위암)위장조영검사(FullPACS/바륨분말300g),D
2024,D3101052,(위암)위장조영검사(FullPACS/바륨분말340g),(위암)위장조영검사(FullPACS/바륨분말340g),D
2024,D3101053,(위암)세척료,(위암)세척료,D
2024,D3102049,(위암)촬영및판독료,(위암)촬영및판독료,D
2024,D3102050,(위암)필름료10*12:6매,(위암)필름료10*12:6매,D
2024,D3102052,(위암)발포과립,(위암)발포과립,D
2024,D3102053,(위암)CRorDR,(위암)CRorDR,D
2024,D3102054,(위암)FullPACS,(위암)FullPACS,D
2024,D3102055,(위암)검사료,(위암)검사료,D
2024,D3102056,(위암)주사약제(아트로핀),(위암)주사약제(아트로핀),D
2024,D3102057,(위암)주사약제(부스코판),(위암)주사약제(부스코판),D
2024,D3102058,(위암)주사료,(위암)주사료,D
2024,D3102059,(위암)내시경하생검,(위암)내시경하생검,D
2024,D3102060,(위암)병리조직검사,(위암)병리조직검사,D
2024,D3102065,(위암)바륨분말300g,(위암)바륨분말300g,D
2024,D3102066,(위암)바륨분말340g,(위암)바륨분말340g,D
2024,D3201006,(대장암)분변잠혈(RPHA),(대장암)분변잠혈(RPHA),D
2024,D3201007,(대장암)대장이중조영검사(직촬),(대장암)대장이중조영검사(직촬),D
2024,D3201008,(대장암)대장내시경검사(전처치재료4L),(대장암)대장내시경검사(전처치재료4L),D
2024,D3201009,(대장암)대장내시경검사(전처치재료2L),(대장암)대장내시경검사(전처치재료2L),D
2024,D3201010,(대장암)대장내시경검사(전처치재료354㎖),(대장암)대장내시경검사(전처치재료354㎖),D
2024,D3201012,(대장암)대장내시경검사(전처치재료45.26g),(대장암)대장내시경검사(전처치재료45.26g),D
2024,D3201013,(대장암)대장내시경검사(전처치재료1L),(대장암)대장내시경검사(전처치재료1L),D
2024,D3201016,(대장암)분변잠혈(정량법),(대장암)분변잠혈(정량법),D
2024,D3201021,(대장암)상담료및행정비용,(대장암)상담료및행정비용,D
2024,D3201037,(대장암)대장이중조영(CR/DR),(대장암)대장이중조영(CR/DR),D
2024,D3201038,(대장암)대장이중조영(FullPacs),(대장암)대장이중조영(FullPacs),D
2024,D3201040,(대장암)포셉,(대장암)포셉,D
2024,D3201045,(대장암)상담료공휴일가산,(대장암)상담료공휴일가산,D
2024,D3201046,(대장암)장애인안전편의관리비(분변),(대장암)장애인안전편의관리비(분변),D
2024,D3201047,(대장암)장애인안전편의관리비(조영),(대장암)장애인안전편의관리비(조영),D
2024,D3201048,(대장암)장애인안전편의관리비(내시경),(대장암)장애인안전편의관리비(내시경),D
2024,D3201053,(대장암)세척료4L,(대장암)세척료4L,D
2024,D3201054,(대장암)세척료2L,(대장암)세척료2L,D
2024,D3201055,(대장암)세척료354㎖,(대장암)세척료354㎖,D
2024,D3201056,(대장암)세척료45.26g,(대장암)세척료45.26g,D
2024,D3201057,(대장암)세척료1L,(대장암)세척료1L,D
2024,D3201065,(대장암)내시경하생검,(대장암)내시경하생검,D
2024,D3201066,(대장암)병리조직검사,(대장암)병리조직검사,D
2024,D3202069,(대장암)촬영및판독료,(대장암)촬영및판독료,D
2024,D3202070,(대장암)필름료(14*17:4매10*12:6매),(대장암)필름료(14*17:4매10*12:6매),D
2024,D3202071,(대장암)바륨분말,(대장암)바륨분말,D
2024,D3202072,(대장암)전처치하제,(대장암)전처치하제,D
