검진청구항목기준년도,건강검진청구항목코드,건강검진청구항목코드명,건강검진유형구분코드,건강검진유형상세코드
2017,P1101028,(기본검진)상담료공휴일가산,(기본검진)상담료공휴일가산,P
2017,P2101010,(추가검진)상담료공휴일가산,(추가검진)상담료공휴일가산,P
2017,Q1101002,(구강검진)검사및상담공휴일가산,(구강검진)검사및상담공휴일가산,Q
2017,D3101027,(위암)조직검사(4-6),(위암)조직검사(4-6),D
2017,D3101028,(위암)조직검사(7-9),(위암)조직검사(7-9),D
2017,D3101029,(위암)조직검사(10-12),(위암)조직검사(10-12),D
2017,D3101030,(위암)조직검사(13이상),(위암)조직검사(13이상),D
2017,D3101035,(위암)위장조영검사(CR/DR),(위암)위장조영검사(CR/DR),D
2017,D3101036,(위암)위장조영검사(FullPacs),(위암)위장조영검사(FullPacs),D
2017,D3101044,(위암)상담료공휴일가산,(위암)상담료공휴일가산,D
2017,D3102049,(위암)촬영및판독료,(위암)촬영및판독료,D
2017,D3102050,(위암)필름료10*12:6매,(위암)필름료10*12:6매,D
2017,D3102051,(위암)바륨액,(위암)바륨액,D
2017,D3102052,(위암)발포과립,(위암)발포과립,D
2017,D3102053,(위암)CRorDR,(위암)CRorDR,D
2017,D3102054,(위암)FullPACS,(위암)FullPACS,D
2017,D3102055,(위암)검사료,(위암)검사료,D
2017,D3102056,(위암)주사약제(아트로핀),(위암)주사약제(아트로핀),D
2017,D3102057,(위암)주사약제(부스코판),(위암)주사약제(부스코판),D
2017,D3102058,(위암)주사료,(위암)주사료,D
2017,D3102059,(위암)내시경하생검,(위암)내시경하생검,D
2017,D3102060,(위암)병리조직검사1-3개,(위암)병리조직검사1-3개,D
2017,D3102061,(위암)병리조직검사4-6개,(위암)병리조직검사4-6개,D
2017,D3102062,(위암)병리조직검사7-9개,(위암)병리조직검사7-9개,D
2017,D3102063,(위암)병리조직검사10-12개,(위암)병리조직검사10-12개,D
2017,D3102064,(위암)병리조직검사13개이상,(위암)병리조직검사13개이상,D
2010,D3401005,(간암)초음파검사,(간암)초음파검사,D
2010,D3401014,(간암)혈청알파태아단백(RPHA),(간암)혈청알파태아단백(RPHA),D
2010,D3401015,(간암)혈청알파태아단백(EIA),(간암)혈청알파태아단백(EIA),D
2010,D3401018,(간암)ALT,(간암)ALT,D
2010,D3401019,(간암)B형간염항원(일반),(간암)B형간염항원(일반),D
2010,D3401022,(간암)상담료및행정비용,(간암)상담료및행정비용,D
2010,D3401025,(간암)B형간염항원(EIA),(간암)B형간염항원(EIA),D
2010,D3401026,(간암)C형간염항체(EIA),(간암)C형간염항체(EIA),D
2010,D3401041,(간암)혈청알파태아단백(RIA),(간암)혈청알파태아단백(RIA),D
2010,D3401043,(간암)C형간염항체(RIA),(간암)C형간염항체(RIA),D
2010,A2101034,생활습관운동,생활습관운동,A
2010,A2101035,생활습관영양,생활습관영양,A
2010,D3501024,(자궁암)상담료및행정비용,(자궁암)상담료및행정비용,D
2010,E9001001,상담및행정비용,상담및행정비용,E
2010,E9001002,발달평가및상담,발달평가및상담,E
2010,E9001003,건강교육(안전),건강교육(안전),E
2010,E9001004,건강교육(영양),건강교육(영양),E
2010,E9001005,건강교육(수면),건강교육(수면),E
2010,A1101019,정량적전산화단층(QCTPQCT),정량적전산화단층(QCTPQCT),A
2010,E9001006,건강교육(구강),건강교육(구강),E
2010,E9001007,건강교육(취학전교육),건강교육(취학전교육),E
2010,E9001008,건강교육(대소변가리기),건강교육(대소변가리기),E
2010,E9001009,건강교육(정서및사회성),건강교육(정서및사회성),E
2010,E9001010,건강교육(개인위생),건강교육(개인위생),E
2010,F9001001,구강검진,구강검진,F
2011,A1101001,상담료,상담료,A
2011,A1101003,흉부방사선직촬14*14,흉부방사선직촬14*14,A
2010,D3102058,(위암)병리조직검사10-12개,(위암)병리조직검사10-12개,D
2010,D3102059,(위암)병리조직검사13개이상,(위암)병리조직검사13개이상,D
2010,D3401042,(간암)B형간염항원(RIA),(간암)B형간염항원(RIA),D
2011,E9001011,건강교육(기본료),건강교육(기본료),E
2010,D3401020,(간암)C형간염항체(일반),(간암)C형간염항체(일반),D
2009,D3202056,(대장암)조영제-전처치하제,(대장암)조영제-전처치하제,D
2009,D3202057,(대장암)내시경하생검,(대장암)내시경하생검,D
2009,D3202058,(대장암)병리조직검사1-3개,(대장암)병리조직검사1-3개,D
2009,D3202059,(대장암)병리조직검사4-6개,(대장암)병리조직검사4-6개,D
2009,D3202060,(대장암)병리조직검사7-9개,(대장암)병리조직검사7-9개,D
2009,D3202061,(대장암)병리조직검사10-12개,(대장암)병리조직검사10-12개,D
2009,D3202062,(대장암)병리조직검사13개이상,(대장암)병리조직검사13개이상,D
2009,D3401015,(간암)혈청알파태아단백(EIA),(간암)혈청알파태아단백(EIA),D
2009,D3401026,(간암)C형간염항체(정밀),(간암)C형간염항체(정밀),D
2010,D3501017,(자궁암)자궁경부세포검사,(자궁암)자궁경부세포검사,D
2009,F9001001,구강검진,구강검진,F
2009,A1102042,(촬영및판독료)간접촬영100mm,(촬영및판독료)간접촬영100mm,A
2009,A1102043,(촬영및판독료)필름직접촬영14*14,(촬영및판독료)필름직접촬영14*14,A
2009,A1102044,(촬영및판독료)필름직접촬영14*17,(촬영및판독료)필름직접촬영14*17,A
2009,A1102045,(재료대)간접촬영100mm,(재료대)간접촬영100mm,A
2009,A1102046,(재료대)필름직접촬영14*14,(재료대)필름직접촬영14*14,A
2009,A1102047,(재료대)필름직접촬영14*17,(재료대)필름직접촬영14*17,A
2009,D3102035,(위암)촬영및판독료,(위암)촬영및판독료,D
2009,D3102036,(위암)필름료10*12:6매,(위암)필름료10*12:6매,D
2011,E9001012,상담및행정비용공휴일가산,상담및행정비용공휴일가산,E
2009,D3102037,(위암)바륨액,(위암)바륨액,D
2009,D3102038,(위암)발포과립,(위암)발포과립,D
2009,D3102039,(위암)검사료,(위암)검사료,D
2009,D3102040,(위암)주사약제(아트로핀),(위암)주사약제(아트로핀),D
2009,D3102041,(위암)주사약제(부스코판),(위암)주사약제(부스코판),D
2009,D3302050,(유방암)필름료(유방전용필름:4매),(유방암)필름료(유방전용필름:4매),D
2009,D3202051,(대장암)촬영및판독료,(대장암)촬영및판독료,D
2009,D3202052,(대장암)필름료(14*17:4매10*12:6매),(대장암)필름료(14*17:4매10*12:6매),D
2009,D3202053,(대장암)바륨분말,(대장암)바륨분말,D
2009,D3202054,(대장암)전처치하제,(대장암)전처치하제,D
2009,D3202055,(대장암)대장내시경검사,(대장암)대장내시경검사,D
2007,J9001003,ALT(SGPT),ALT(SGPT),J
2007,J9001004,혈당(식전),혈당(식전),J
2007,J9001001,상담료및행정비용,상담료및행정비용,J
2007,J9001005,총콜레스테롤,총콜레스테롤,J
2007,J9001006,감마지티피(r-GTP),감마지티피(r-GTP),J
2011,A1101011,트리글리세라이드,트리글리세라이드,A
2011,A1101012,HDL콜레스테롤(LDL포함),HDL콜레스테롤(LDL포함),A
2011,A1101013,혈색소,혈색소,A
2011,A1101014,공복혈당,공복혈당,A
2011,A1101015,B형간염표면항원(일반),B형간염표면항원(일반),A
2011,A1101016,B형간염표면항원(정밀EIA),B형간염표면항원(정밀EIA),A
2011,A1101017,양방사선골밀도검사(DXA),양방사선골밀도검사(DXA),A
2011,A1101018,양방사선말단골밀도측정(PDEXA),양방사선말단골밀도측정(PDEXA),A
2011,A1101019,정량적전산화단층(QCTPQCT),정량적전산화단층(QCTPQCT),A
2011,A1101020,기타초음파골밀도측정(QUS),기타초음파골밀도측정(QUS),A
2011,A1101021,노인신체기능검사,노인신체기능검사,A
2011,A1101024,흉부방사선CR/DR,흉부방사선CR/DR,A
2011,A1101025,흉부방사선FullPacs,흉부방사선FullPacs,A
2011,A1101026,B형간염표면항원(정밀RIA),B형간염표면항원(정밀RIA),A
2011,A1101027,B형간염표면항체(정밀RIA),B형간염표면항체(정밀RIA),A
2011,A1101042,1차상담료공휴일가산,1차상담료공휴일가산,A
2011,A2101030,2차사후상담,2차사후상담,A
2011,A2101031,식전혈당(혈액화학분석기),식전혈당(혈액화학분석기),A
2011,A2101032,생활습관흡연,생활습관흡연,A
2011,A2101033,생활습관음주,생활습관음주,A
2011,A2101034,생활습관운동,생활습관운동,A
2011,A2101035,생활습관영양,생활습관영양,A
2011,A2101036,생활습관비만,생활습관비만,A
2011,A2101037,생활습관상담료(기본료),생활습관상담료(기본료),A
2011,A2101038,CES-D우울증검사,CES-D우울증검사,A
2011,A2101039,GDS우울증검사,GDS우울증검사,A
2011,A2101040,KDSQ-C인지기능장애검사,KDSQ-C인지기능장애검사,A
2011,A2101041,식전혈당(자가혈당측정기),식전혈당(자가혈당측정기),A
2011,A2101043,2차사후상담공휴일가산,2차사후상담공휴일가산,A
2011,C1101001,구강검사진찰및상담,구강검사진찰및상담,C
2011,C1101002,치면세균막검사,치면세균막검사,C
2011,C1101003,구강검사진찰및상담공휴일가산,구강검사진찰및상담공휴일가산,C
2011,D3101001,(위암)상담료및행정비용,(위암)상담료및행정비용,D
2011,D3101002,(위암)위장조영검사(직촬),(위암)위장조영검사(직촬),D
2011,D3101003,(위암)위내시경검사,(위암)위내시경검사,D
2011,D3101004,(위암)조직검사(1-3),(위암)조직검사(1-3),D
2011,D3101027,(위암)조직검사(4-6),(위암)조직검사(4-6),D
2011,D3101028,(위암)조직검사(7-9),(위암)조직검사(7-9),D
2011,D3101029,(위암)조직검사(10-12),(위암)조직검사(10-12),D
2011,D3101030,(위암)조직검사(13이상),(위암)조직검사(13이상),D
2011,D3101035,(위암)위장조영검사(CR/DR),(위암)위장조영검사(CR/DR),D
2011,D3101036,(위암)위장조영검사(FullPacs),(위암)위장조영검사(FullPacs),D
2011,D3101044,(위암)상담료공휴일가산,(위암)상담료공휴일가산,D
2011,D3201006,(대장암)분변잠혈(RPHA),(대장암)분변잠혈(RPHA),D
2011,D3201007,(대장암)대장이중조영검사(직촬),(대장암)대장이중조영검사(직촬),D
2011,D3201008,(대장암)대장내시경검사,(대장암)대장내시경검사,D
2011,D3201011,(대장암)조직검사(1-3),(대장암)조직검사(1-3),D
2011,D3201016,(대장암)분변잠혈(정량법),(대장암)분변잠혈(정량법),D
2011,D3201021,(대장암)상담료및행정비용,(대장암)상담료및행정비용,D
2011,D3201031,(대장암)조직검사(4-6),(대장암)조직검사(4-6),D
2011,D3201032,(대장암)조직검사(7-9),(대장암)조직검사(7-9),D
2011,A1101022,B형간염표면항체(일반),B형간염표면항체(일반),A
2011,D3201033,(대장암)조직검사(10-12),(대장암)조직검사(10-12),D
2011,D3201034,(대장암)조직검사(13이상),(대장암)조직검사(13이상),D
2011,D3201037,(대장암)대장이중조영(CR/DR),(대장암)대장이중조영(CR/DR),D
2011,D3201038,(대장암)대장이중조영(FullPacs),(대장암)대장이중조영(FullPacs),D
2011,D3201045,(대장암)상담료공휴일가산,(대장암)상담료공휴일가산,D
2013,D3102050,(위암)필름료10*12:6매,(위암)필름료10*12:6매,D
2013,D3102051,(위암)바륨액,(위암)바륨액,D
2013,D3102052,(위암)발포과립,(위암)발포과립,D
2013,D3102053,(위암)CRorDR,(위암)CRorDR,D
2013,D3102054,(위암)FullPACS,(위암)FullPACS,D
2013,D3102055,(위암)검사료,(위암)검사료,D
2013,D3102056,(위암)주사약제(아트로핀),(위암)주사약제(아트로핀),D
2013,D3102057,(위암)주사약제(부스코판),(위암)주사약제(부스코판),D
2013,D3102058,(위암)주사료,(위암)주사료,D
2013,D3102059,(위암)내시경하생검,(위암)내시경하생검,D
2006,A2101030,당뇨질환,당뇨질환,A
2006,A2101032,빈혈증,빈혈증,A
2006,A2101033,정밀안저검사동시실시,정밀안저검사동시실시,A
2005,A2101021,상담료및행정비용(2차),상담료및행정비용(2차),A
2005,A2101022,폐결핵및흉부방사선직촬,폐결핵및흉부방사선직촬,A
2005,A2101023,결핵균집균도말검사,결핵균집균도말검사,A
2005,A2101024,기타흉부질환(직촬),기타흉부질환(직촬),A
2005,A2101025,고혈압성질환(심전도포함),고혈압성질환(심전도포함),A
2005,A2101026,고혈압성질환(심전도미포함),고혈압성질환(심전도미포함),A
2005,A2101027,고지혈증,고지혈증,A
2005,A2101028,간장질환(간염포함),간장질환(간염포함),A
2005,A2101029,간장질환(간염미포함),간장질환(간염미포함),A
2005,A2101030,당뇨질환,당뇨질환,A
2005,A2101031,신장질환,신장질환,A
2005,A2101032,빈혈증,빈혈증,A
2005,A2101033,정밀안저검사동시실시,정밀안저검사동시실시,A
2005,B1101001,상담료및행정비용,상담료및행정비용,B
2005,B1101002,AST(SGOT),AST(SGOT),B
2005,B1101003,ALT(SGPT),ALT(SGPT),B
2005,B1101004,혈당(식전),혈당(식전),B
2005,B1101005,총콜레스테롤,총콜레스테롤,B
2005,B1101006,감마지티피(r-GTP),감마지티피(r-GTP),B
2005,B1101007,혈색소,혈색소,B
2005,B1101008,요검사,요검사,B
2005,B1101009,심전도검사,심전도검사,B
2005,B1101010,흉부방사선검사(70mm),흉부방사선검사(70mm),B
2005,B1101012,간염검사,간염검사,B
2005,B1101013,흉부방사선검사(100mm),흉부방사선검사(100mm),B
2005,B1101014,흉부방사선검사(직촬),흉부방사선검사(직촬),B
2005,B2101021,상담료및행정비용(2차),상담료및행정비용(2차),B
2005,B2101022,폐결핵및흉부방사선직촬,폐결핵및흉부방사선직촬,B
2005,B2101023,결핵균집균도말검사,결핵균집균도말검사,B
2005,B2101024,기타흉부질환(직촬),기타흉부질환(직촬),B
2005,B2101025,고혈압성질환(심전도포함),고혈압성질환(심전도포함),B
2005,B2101026,고혈압성질환(심전도미포함),고혈압성질환(심전도미포함),B
2005,B2101027,고지혈증,고지혈증,B
2005,B2101028,간장질환(간염포함),간장질환(간염포함),B
2005,J9001040,(신장질환)요산,(신장질환)요산,J
2005,J9001041,(빈혈증)헤마토크리트,(빈혈증)헤마토크리트,J
2005,J9001042,(빈혈증)백혈구수,(빈혈증)백혈구수,J
2005,J9001043,(빈혈증)적혈구수,(빈혈증)적혈구수,J
2005,J9001044,(당뇨질환)식전혈당,(당뇨질환)식전혈당,J
2005,J9001045,(당뇨질환)식후혈당,(당뇨질환)식후혈당,J
2006,A1101001,상담료및행정비용,상담료및행정비용,A
2006,A1101002,AST(SGOT),AST(SGOT),A
2006,A1101003,ALT(SGPT),ALT(SGPT),A
2006,A1101004,혈당(식전),혈당(식전),A
2006,A1101005,총콜레스테롤,총콜레스테롤,A
2006,A1101006,감마지티피(r-GTP),감마지티피(r-GTP),A
2006,A1101007,혈색소,혈색소,A
2006,A1101008,요검사,요검사,A
2006,A1101009,심전도검사,심전도검사,A
2006,A1101010,1차흉부방사선(70mm),1차흉부방사선(70mm),A
2006,A1101012,1차흉부방사선(직촬14X14),1차흉부방사선(직촬14X14),A
2006,A1101013,1차흉부방사선(100mm),1차흉부방사선(100mm),A
2006,A1101014,1차흉부방사선(직촬14X17),1차흉부방사선(직촬14X17),A
2006,A2101021,상담료및행정비용(2차),상담료및행정비용(2차),A
2006,A2101022,2차흉부방사선(직촬14X17),2차흉부방사선(직촬14X17),A
2006,A2101023,결핵균집균도말검사,결핵균집균도말검사,A
2006,A2101024,2차흉부방사선(직촬14X14),2차흉부방사선(직촬14X14),A
2006,A2101025,고혈압성질환(심전도포함),고혈압성질환(심전도포함),A
2006,A2101026,고혈압성질환(심전도미포함),고혈압성질환(심전도미포함),A
2006,A2101027,고지혈증,고지혈증,A
2006,B1101010,1차흉부방사선(70mm),1차흉부방사선(70mm),B
2008,B1101008,감마지피티,감마지피티,B
2008,B1101009,혈청크레아티닌,혈청크레아티닌,B
2008,B1101010,총콜레스테롤,총콜레스테롤,B
2008,B1101011,트리글리세라이드,트리글리세라이드,B
2008,B1101012,HDL콜레스테롤(LDL포함),HDL콜레스테롤(LDL포함),B
2008,B1101013,혈색소,혈색소,B
2008,B1101014,식전혈당,식전혈당,B
2008,B1101015,B형간염항원(일반),B형간염항원(일반),B
2018,D3101046,(위암)장애인안전편의관리비(내시경),(위암)장애인안전편의관리비(내시경),D
2018,D3201047,(대장암)장애인안전편의관리비(조영),(대장암)장애인안전편의관리비(조영),D
2018,D3201048,(대장암)장애인안전편의관리비(내시경),(대장암)장애인안전편의관리비(내시경),D
2004,B1101002,AST(SGOT),AST(SGOT),B
2004,B1101003,ALT(SGPT),ALT(SGPT),B
2004,B1101004,혈당(식전),혈당(식전),B
2004,B1101005,총콜레스테롤,총콜레스테롤,B
2004,B1101010,흉부방사선검사(70mm),흉부방사선검사(70mm),B
2004,B1101011,자궁질도말세포병리검사,자궁질도말세포병리검사,B
2004,B1101012,간염검사,간염검사,B
2004,B1101013,흉부방사선검사(100mm),흉부방사선검사(100mm),B
2003,B1101008,요검사,요검사,B
2003,B1101009,심전도검사,심전도검사,B
2004,B2101021,상담료및행정비용(2차),상담료및행정비용(2차),B
2004,B2101022,폐결핵및흉부방사선직촬,폐결핵및흉부방사선직촬,B
2004,B2101023,결핵균집균도말검사,결핵균집균도말검사,B
2004,B2101024,기타흉부질환(직촬),기타흉부질환(직촬),B
2004,B2101025,고혈압성질환(심전도포함),고혈압성질환(심전도포함),B
2004,B2101026,고혈압성질환(심전도미포함),고혈압성질환(심전도미포함),B
2004,B2101027,고지혈증,고지혈증,B
2004,B2101028,간장질환(간염포함),간장질환(간염포함),B
2004,B2101029,간장질환(간염미포함),간장질환(간염미포함),B
2004,B2101030,당뇨질환,당뇨질환,B
2004,B2101031,신장질환,신장질환,B
2004,B2101032,빈혈증,빈혈증,B
2004,B2101033,정밀안저검사동시실시,정밀안저검사동시실시,B
2004,C1101001,구강검사,구강검사,C
2004,D9001001,암상담료및행정비용,암상담료및행정비용,D
2004,D9001002,(위암)위장조영촬영,(위암)위장조영촬영,D
2004,D9001003,(위암)상부소화관내시경,(위암)상부소화관내시경,D
2004,D9001004,(위암)조직검사,(위암)조직검사,D
2004,D9001005,(간암)초음파검사,(간암)초음파검사,D
2004,D9001006,(대장암)분변잠혈(RPHA),(대장암)분변잠혈(RPHA),D
2004,D9001007,(대장암)결장이중조영촬영,(대장암)결장이중조영촬영,D
2004,D9001008,(대장암)결장경검사,(대장암)결장경검사,D
2004,D9001011,(대장암)조직검사,(대장암)조직검사,D
2009,D3102045,(위암)병리조직검사4-6개,(위암)병리조직검사4-6개,D
2009,D3102046,(위암)병리조직검사7-9개,(위암)병리조직검사7-9개,D
2009,D3102047,(위암)병리조직검사10-12개,(위암)병리조직검사10-12개,D
2009,D3102048,(위암)병리조직검사13개이상,(위암)병리조직검사13개이상,D
2009,D3302049,(유방암)촬영및판독료,(유방암)촬영및판독료,D
2011,D3301047,(유방암)상담료공휴일가산,(유방암)상담료공휴일가산,D
2011,D3401005,(간암)초음파검사,(간암)초음파검사,D
2011,D3401014,(간암)혈청알파태아단백(RPHA),(간암)혈청알파태아단백(RPHA),D
2011,D3401015,(간암)혈청알파태아단백(EIA),(간암)혈청알파태아단백(EIA),D
2011,D3401018,(간암)ALT,(간암)ALT,D
2011,D3401019,(간암)B형간염표면항원(일반),(간암)B형간염표면항원(일반),D
2011,D3401020,(간암)C형간염항체(일반),(간암)C형간염항체(일반),D
2011,D3401022,(간암)상담료및행정비용,(간암)상담료및행정비용,D
2011,D3401025,(간암)B형간염표면항원(EIA),(간암)B형간염표면항원(EIA),D
2011,D3401026,(간암)C형간염항체(EIA),(간암)C형간염항체(EIA),D
2011,D3401041,(간암)혈청알파태아단백(RIA),(간암)혈청알파태아단백(RIA),D
2011,D3401042,(간암)B형간염표면항원(RIA),(간암)B형간염표면항원(RIA),D
2011,D3401043,(간암)C형간염항체(RIA),(간암)C형간염항체(RIA),D
2011,D3401046,(간암)상담료공휴일가산,(간암)상담료공휴일가산,D
2011,D3501017,(자궁암)자궁경부세포검사,(자궁암)자궁경부세포검사,D
2011,D3501024,(자궁암)상담료및행정비용,(자궁암)상담료및행정비용,D
2011,D3501048,(자궁암)상담료공휴일가산,(자궁암)상담료공휴일가산,D
2011,E9001002,발달평가및상담,발달평가및상담,E
2011,E9001003,건강교육(안전),건강교육(안전),E
2011,E9001004,건강교육(영양),건강교육(영양),E
2011,E9001005,건강교육(수면),건강교육(수면),E
2011,E9001006,건강교육(구강),건강교육(구강),E
2011,E9001007,건강교육(취학전교육),건강교육(취학전교육),E
2011,E9001008,건강교육(대소변가리기),건강교육(대소변가리기),E
2011,E9001009,건강교육(정서및사회성),건강교육(정서및사회성),E
2011,E9001010,건강교육(개인위생),건강교육(개인위생),E
2011,F9001001,구강검진,구강검진,F
2011,F9001002,구강검진공휴일가산,구강검진공휴일가산,F
2011,E9001001,상담및행정비용,상담및행정비용,E
2011,D3301012,(유방암)유방촬영(직촬),(유방암)유방촬영(직촬),D
2011,A1101023,B형간염표면항체(정밀EIA),B형간염표면항체(정밀EIA),A
2011,D3301023,(유방암)상담료및행정비용,(유방암)상담료및행정비용,D
2011,D3301039,(유방암)유방촬영(CR/DR),(유방암)유방촬영(CR/DR),D
2003,H9001003,상부소화관내시경검사,상부소화관내시경검사,H
2003,H9001004,위조직검사,위조직검사,H
2003,H9001005,간초음파검사(간암),간초음파검사(간암),H
2003,H9001006,분변잠혈반응검사(대장암),분변잠혈반응검사(대장암),H
2003,H9001007,결장단순조영촬영,결장단순조영촬영,H
2003,H9001008,결장경검사,결장경검사,H
2003,H9001009,S상결장경검사,S상결장경검사,H
2003,H9001010,직장경검사,직장경검사,H
2003,H9001011,대장조직검사,대장조직검사,H
2003,H9001012,유방단순촬영,유방단순촬영,H
2003,H9001013,유방조직검사,유방조직검사,H
2004,A1101001,상담료및행정비용,상담료및행정비용,A
2004,A1101002,AST(SGOT),AST(SGOT),A
2004,A1101003,ALT(SGPT),ALT(SGPT),A
2004,A1101004,혈당(식전),혈당(식전),A
2004,A1101005,총콜레스테롤,총콜레스테롤,A
2005,J9001032,(간장질환)알카리포스파타제,(간장질환)알카리포스파타제,J
2005,J9001033,(간장질환)유산탈수효소,(간장질환)유산탈수효소,J
2005,J9001034,(간장질환)알파피토프로테인,(간장질환)알파피토프로테인,J
2005,J9001035,(간장질환)간염항원,(간장질환)간염항원,J
2005,J9001036,(간장질환)간염항체,(간장질환)간염항체,J
2005,J9001037,(신장질환)요침사현미경RBCWBC,(신장질환)요침사현미경RBCWBC,J
2005,J9001038,(신장질환)요소질소,(신장질환)요소질소,J
2005,J9001039,(신장질환)크레아티닌,(신장질환)크레아티닌,J
2010,A1101020,기타초음파(QUS),기타초음파(QUS),A
2010,A1101021,노인기능검사,노인기능검사,A
2010,A1101022,B형간염항체(일반),B형간염항체(일반),A
2010,A1101023,B형간염항체(정밀EIA),B형간염항체(정밀EIA),A
2010,A1101024,흉부방사선CR/DR,흉부방사선CR/DR,A
2010,A1101025,흉부방사선FullPacs,흉부방사선FullPacs,A
2010,A1101026,B형간염항원(정밀RIA),B형간염항원(정밀RIA),A
2010,A1101027,B형간염항체(정밀RIA),B형간염항체(정밀RIA),A
2010,A2101030,2차사후상담,2차사후상담,A
2010,A2101031,식전혈당(혈액화학분석기),식전혈당(혈액화학분석기),A
2010,A2101032,생활습관흡연,생활습관흡연,A
2010,A2101033,생활습관음주,생활습관음주,A
2010,A2101036,생활습관비만,생활습관비만,A
2010,A2101037,생활습관상담료(기본료),생활습관상담료(기본료),A
2010,A2101038,CES-D우울증검사,CES-D우울증검사,A
2010,A2101039,GDS우울증검사,GDS우울증검사,A
2010,A2101040,KDSQ-C인지기능장애검사,KDSQ-C인지기능장애검사,A
2010,A2101041,식전혈당(자가혈당측정기),식전혈당(자가혈당측정기),A
2010,C1101001,구강검사진찰및상담,구강검사진찰및상담,C
2010,C1101002,치면세균막검사,치면세균막검사,C
2010,D3101001,(위암)상담료및행정비용,(위암)상담료및행정비용,D
2010,D3101002,(위암)위장조영검사(직촬),(위암)위장조영검사(직촬),D
2010,D3101035,(위암)위장조영검사(CR/DR),(위암)위장조영검사(CR/DR),D
2010,D3101036,(위암)위장조영검사(FullPacs),(위암)위장조영검사(FullPacs),D
2010,D3101003,(위암)위내시경검사,(위암)위내시경검사,D
2010,D3101004,(위암)조직검사(1-3),(위암)조직검사(1-3),D
2010,D3101027,(위암)조직검사(4-6),(위암)조직검사(4-6),D
2010,D3101028,(위암)조직검사(7-9),(위암)조직검사(7-9),D
2010,D3101029,(위암)조직검사(10-12),(위암)조직검사(10-12),D
2010,D3101030,(위암)조직검사(13이상),(위암)조직검사(13이상),D
2010,D3201006,(대장암)분변잠혈(RPHA),(대장암)분변잠혈(RPHA),D
2010,D3201007,(대장암)대장이중조영검사(직촬),(대장암)대장이중조영검사(직촬),D
2010,D3201008,(대장암)대장내시경검사,(대장암)대장내시경검사,D
2010,D3201011,(대장암)조직검사(1-3),(대장암)조직검사(1-3),D
2010,D3201016,(대장암)분변잠혈(정량법),(대장암)분변잠혈(정량법),D
2010,D3201021,(대장암)상담료및행정비용,(대장암)상담료및행정비용,D
2010,D3201031,(대장암)조직검사(4-6),(대장암)조직검사(4-6),D
2010,D3201032,(대장암)조직검사(7-9),(대장암)조직검사(7-9),D
2010,D3201033,(대장암)조직검사(10-12),(대장암)조직검사(10-12),D
2010,D3201034,(대장암)조직검사(13이상),(대장암)조직검사(13이상),D
2010,D3201037,(대장암)대장이중조영(CR/DR),(대장암)대장이중조영(CR/DR),D
2010,D3201038,(대장암)대장이중조영(FullPacs),(대장암)대장이중조영(FullPacs),D
2010,D3301012,(유방암)유방촬영(직촬),(유방암)유방촬영(직촬),D
2010,D3301023,(유방암)상담료및행정비용,(유방암)상담료및행정비용,D
2010,D3301039,(유방암)유방촬영(CR/DR),(유방암)유방촬영(CR/DR),D
2010,D3301040,(유방암)유방촬영(FullPacs),(유방암)유방촬영(FullPacs),D
2007,J9001038,(신장질환)요소질소,(신장질환)요소질소,J
2007,J9001039,(신장질환)크레아티닌,(신장질환)크레아티닌,J
2007,J9001040,(신장질환)요산,(신장질환)요산,J
2007,J9001041,(빈혈증)헤마토크리트,(빈혈증)헤마토크리트,J
2007,J9001042,(빈혈증)백혈구수,(빈혈증)백혈구수,J
2007,J9001043,(빈혈증)적혈구수,(빈혈증)적혈구수,J
2007,J9001044,(당뇨질환)식전혈당,(당뇨질환)식전혈당,J
2007,J9001045,(당뇨질환)식후혈당,(당뇨질환)식후혈당,J
2008,A1101001,상담료및행정비용,상담료및행정비용,A
2008,A1101002,AST(SGOT),AST(SGOT),A
2008,A1101003,ALT(SGPT),ALT(SGPT),A
2008,A1101004,혈당(식전),혈당(식전),A
2008,A1101005,총콜레스테롤,총콜레스테롤,A
2008,A1101006,감마지티피(r-GTP),감마지티피(r-GTP),A
2008,A1101007,혈색소,혈색소,A
2007,J9001002,AST(SGOT),AST(SGOT),J
2008,A1101008,요검사,요검사,A
2008,A1101009,심전도검사,심전도검사,A
2008,A1101012,1차흉부방사선(직촬14X14),1차흉부방사선(직촬14X14),A
2008,A1101013,1차흉부방사선(100mm),1차흉부방사선(100mm),A
2008,A1101014,1차흉부방사선(직촬14X17),1차흉부방사선(직촬14X17),A
2008,A2101021,상담료및행정비용(2차),상담료및행정비용(2차),A
2008,A2101022,(폐결핵)흉부방사선(직촬14X14),(폐결핵)흉부방사선(직촬14X14),A
2008,A2101023,(폐결핵)흉부방사선(직촬14X17),(폐결핵)흉부방사선(직촬14X17),A
2008,A2101024,(폐결핵)결핵균집균도말검사,(폐결핵)결핵균집균도말검사,A
2008,A2101025,(고혈압당뇨)정밀안저검사,(고혈압당뇨)정밀안저검사,A
2008,A2101026,(고혈압)심전도검사,(고혈압)심전도검사,A
2008,A2101027,(고지혈증)트리글리세라이드,(고지혈증)트리글리세라이드,A
2008,A2101028,(고지혈증)HDL콜레스테롤,(고지혈증)HDL콜레스테롤,A
2008,A2101029,(간장질환)알부민,(간장질환)알부민,A
